"Tijdstempel","Have you participated in this survey before?","Do you use the UberEats food delivery application on your phone?","What is your age?","What is your gender?","Where do you currently live?","What is your highest education level?","What is your occupation?","What is your income level?","Does the UberEats application send you push notifications about ordering food?","The push notifications by UberEats have an influence on me. ","The push notifications by UberEats are convincing.","The push notifications by UberEats are personally relevant for me.","Do not choose the option yes. This is to make sure you are paying attention.","The push notifications by UberEats make me order food on UberEats more often.","I am able to consume fruits and vegetables in most of my meals.","I am able to eat a variety of healthy foods to keep my diet balanced.","Based on my knowledge of nutrition, I am able to choose healthy foods at restaurants and from stores.","I am able to modify recipes to make them healthier.","If you are paying attention, choose number 4","I am able to choose recipes based on nutritional value.","If I choose to indulge in unhealthy food, I am able to appropriately compensate later.","When I feel hungry, I am able to easily choose healthy food over less healthy options."
"2023/05/04 11:49:30 a.m. EEST","No","No","25-34","Female","France","Master degree","Student","Less than €20,000","Yes","2","3","2","No","2","4","4","2","4","4","3","4","3"
"2023/05/04 2:19:26 p.m. EEST","No","Yes","18-24","Female","United Kingdom","Bachelor degree","Student","Less than €20,000","Yes","4","4","5","No","5","4","4","3","4","4","5","5","1"
"2023/05/04 8:05:03 p.m. EEST","No","Yes","18-24","Male","Spain","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","4","4","5","5","4","4","4","4"
"2023/05/05 5:05:36 a.m. EEST","No","Yes","35-44","Male","Canada","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","4","3","4","No","4","5","5","4","4","4","4","4","3"
"2023/05/07 1:35:33 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","1","4","4","4","4","4","4","4","3"
"2023/05/07 2:09:31 p.m. EEST","No","No","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","2","2","3","No","2","5","5","4","4","4","3","4","4"
"2023/05/07 2:12:43 p.m. EEST","No","No","35-44","Female","India","Master degree","Full-time employed","Between €20,000-€50,000","Yes","3","3","4","No","4","4","4","2","4","4","4","5","5"
"2023/05/07 4:11:12 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Prefer not to say","No","1","1","3","No","1","4","4","4","5","4","2","4","1"
"2023/05/07 4:37:12 p.m. EEST","Yes","Yes","18-24","Female","Latvia","Bachelor degree","Student","Between €20,000-€50,000","Yes","4","4","4","No","3","3","3","3","3","4","3","3","3"
"2023/05/07 6:04:51 p.m. EEST","No","Yes","18-24","Male","United Kingdom","Less then high school","Student","Less than €20,000","Yes","1","1","1","No","1","5","5","5","5","4","5","5","5"
"2023/05/07 7:08:29 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","No","4","5","4","No","4","4","5","4","4","4","4","2","4"
"2023/05/07 7:18:48 p.m. EEST","No","Yes","18-24","Male","Belgium","Bachelor degree","Student","Less than €20,000","Yes","3","4","4","No","4","2","3","4","4","4","4","3","2"
"2023/05/07 9:02:59 p.m. EEST","No","Yes","25-34","Female","South Africa","Bachelor degree","Full-time employed","Less than €20,000","Yes","4","3","4","No","3","2","2","2","2","4","2","4","2"
"2023/05/07 9:24:53 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","2","4","No","2","4","4","4","4","4","3","2","2"
"2023/05/07 9:30:42 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","1","No","1","1","1","1","1","4","2","2","1"
"2023/05/07 10:17:21 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","1","2","2","No","1","4","4","5","5","4","5","4","4"
"2023/05/07 10:33:11 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","4","4","4","No","3","5","5","5","5","4","1","5","5"
"2023/05/07 10:33:58 p.m. EEST","Yes","No","18-24","Male","Bahamas","Master degree","Student","Less than €20,000","Yes","1","1","1","No","2","4","4","4","4","4","4","3","3"
"2023/05/07 11:03:00 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","1","4","2","No","1","4","3","4","2","4","2","4","3"
"2023/05/07 11:05:49 p.m. EEST","No","Yes","18-24","Female","Belgium","Master degree","Student","Less than €20,000","No","1","2","2","No","1","4","5","5","4","4","5","3","2"
"2023/05/07 11:17:17 p.m. EEST","No","Yes","18-24","Other","United Kingdom","Bachelor degree","Student","Prefer not to say","Yes","4","4","3","No","4","5","5","5","5","4","5","1","3"
"2023/05/08 12:26:31 p.m. EEST","No","Yes","25-34","Male","Netherlands","Some college, no degree","Full-time employed","Between €20,000-€50,000","Yes","3","4","2","No","3","1","2","3","4","4","3","1","2"
"2023/05/08 12:27:10 p.m. EEST","No","Yes","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","Yes","3","1","1","No","2","2","2","1","1","4","1","1","1"
"2023/05/08 12:46:02 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","Yes","2","2","4","No","2","4","5","5","4","4","4","4","4"
"2023/05/08 12:51:38 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","4","4","4","4","4","3","5","2"
"2023/05/08 12:55:35 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","Yes","1","2","3","No","1","5","5","4","4","4","4","4","4"
"2023/05/08 3:06:01 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","3","4","4","No","3","4","4","4","4","4","4","4","4"
"2023/05/08 3:21:08 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","4","4","No","4","4","3","4","4","4","4","5","2"
"2023/05/08 4:02:24 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","Yes","3","2","4","No","2","4","4","4","4","4","4","4","4"
"2023/05/08 4:23:46 p.m. EEST","No","No","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","No","2","4","2","No","3","5","5","4","4","4","4","5","4"
"2023/05/08 4:33:56 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","2","4","4","No","2","4","4","4","3","4","2","4","2"
"2023/05/08 4:34:57 p.m. EEST","No","No","18-24","Female","Belgium","High school degree","Student","Less than €20,000","No","2","4","3","No","3","4","4","3","2","4","4","4","5"
"2023/05/08 4:49:51 p.m. EEST","No","Yes","18-24","Male","Switzerland","High school degree","Student","Less than €20,000","Yes","2","4","4","No","4","5","5","5","5","4","5","5","5"
"2023/05/08 4:57:21 p.m. EEST","No","No","35-44","Female","India","Master degree","Student","Less than €20,000","No","3","3","3","No","3","3","4","4","4","4","4","5","1"
"2023/05/08 5:31:37 p.m. EEST","No","Yes","25-34","Female","Portugal","Bachelor degree","Student","Prefer not to say","Yes","4","4","4","No","2","3","3","4","4","4","4","4","4"
"2023/05/08 6:32:15 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","1","4","No","1","5","5","5","5","4","5","5","1"
"2023/05/08 9:02:17 p.m. EEST","No","Yes","18-24","Female","Spain","Bachelor degree","Part-time employed","Less than €20,000","Yes","3","4","2","No","2","4","4","4","3","4","4","3","3"
"2023/05/08 10:11:40 p.m. EEST","No","Yes","18-24","Male","United Kingdom","Master degree","Student","Between €20,000-€50,000","Yes","2","2","4","No","2","5","4","4","3","4","4","4","3"
"2023/05/08 10:26:55 p.m. EEST","No","Yes","18-24","Female","France","Some college, no degree","Student","Less than €20,000","Yes","2","3","2","No","2","5","4","4","4","4","4","4","3"
"2023/05/08 11:22:53 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","2","3","No","4","5","5","4","5","4","4","3","4"
"2023/05/09 12:30:43 a.m. EEST","No","Yes","25-34","Male","Netherlands","Master degree","Part-time employed","Less than €20,000","No","4","3","3","No","4","2","2","3","3","4","3","3","2"
"2023/05/09 12:32:41 a.m. EEST","No","Yes","25-34","Male","Netherlands","Master degree","Part-time employed","Less than €20,000","No","3","3","3","No","2","2","2","2","3","2","2","2","2"
"2023/05/09 1:22:02 a.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","2","2","No","3","3","4","4","4","4","2","3","2"
"2023/05/09 6:15:20 a.m. EEST","No","Yes","25-34","Male","Taiwan","Master degree","Student","Less than €20,000","Yes","1","3","4","No","2","2","2","4","3","4","3","4","2"
"2023/05/09 8:55:47 a.m. EEST","No","Yes","25-34","Male","Malaysia","Bachelor degree","Student","Between €50,000-€80,000","No","1","1","1","No","1","3","4","4","4","4","4","4","5"
"2023/05/09 10:22:55 a.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Part-time employed","Less than €20,000","No","3","3","3","No","3","5","5","5","5","4","5","5","4"
"2023/05/09 11:00:58 a.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","3","2","No","3","4","5","5","4","4","4","4","5"
"2023/05/09 11:23:25 a.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","2","3","3","No","2","4","4","4","4","4","4","4","3"
"2023/05/09 11:48:19 a.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","4","4","3","4","4","4","4","3"
"2023/05/09 2:30:05 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Part-time employed","Less than €20,000","Yes","1","1","1","No","1","4","4","4","4","4","4","4","2"
"2023/05/09 2:37:44 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","No","4","4","2","No","4","2","2","4","4","4","2","3","2"
"2023/05/09 2:41:09 p.m. EEST","No","No","18-24","Female","Netherlands","Master degree","Student","Between €50,000-€80,000","No","1","2","1","No","1","4","4","4","4","4","4","4","4"
"2023/05/09 2:49:01 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","2","4","No","2","3","3","4","4","4","3","2","2"
"2023/05/09 3:27:45 p.m. EEST","No","Yes","18-24","Female","Belgium","Master degree","Student","Less than €20,000","Yes","4","4","4","No","4","3","3","4","4","4","3","3","2"
"2023/05/09 3:36:29 p.m. EEST","No","Yes","18-24","Female","Australia","High school degree","Student","Prefer not to say","No","3","2","2","No","2","4","3","4","4","4","4","3","3"
"2023/05/09 4:22:38 p.m. EEST","No","No","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","1","1","1","No","1","5","5","5","5","4","5","5","5"
"2023/05/09 4:31:26 p.m. EEST","No","Yes","18-24","Female","Australia","High school degree","Student","Prefer not to say","Yes","3","1","3","No","2","5","5","5","4","4","4","4","4"
"2023/05/09 5:02:45 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","No","2","4","2","No","1","4","4","5","4","4","5","3","2"
"2023/05/09 5:04:00 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","Yes","3","2","4","No","2","5","4","5","4","4","5","2","3"
"2023/05/09 5:41:38 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","2","2","3","No","1","4","4","4","4","4","3","3","3"
"2023/05/09 5:43:42 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Part-time employed","Between €20,000-€50,000","Yes","3","2","3","No","4","3","3","3","3","4","3","4","3"
"2023/05/09 6:30:15 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","3","2","4","No","3","2","2","1","3","4","2","3","2"
"2023/05/09 6:38:04 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Prefer not to say","No","2","3","3","No","2","5","5","5","5","4","4","5","5"
"2023/05/09 7:19:12 p.m. EEST","No","Yes","45-54","Female","South Africa","Bachelor degree","Student","Less than €20,000","Yes","2","3","3","No","1","5","5","5","5","4","4","5","4"
"2023/05/10 1:06:50 a.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Between €20,000-€50,000","Yes","4","3","4","No","4","5","4","4","4","4","2","4","4"
"2023/05/10 10:06:21 a.m. EEST","No","Yes","35-44","Female","France","Master degree","Student","Less than €20,000","Yes","1","1","3","No","1","3","3","5","5","4","5","3","3"
"2023/05/10 11:31:04 a.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","3","3","No","3","4","4","3","2","4","3","4","3"
"2023/05/10 12:05:43 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Between €20,000-€50,000","Yes","4","4","2","No","4","3","2","1","2","4","1","3","2"
"2023/05/10 12:09:21 p.m. EEST","No","Yes","25-34","Female","Mexico","Bachelor degree","Student","Between €20,000-€50,000","Yes","2","3","3","No","4","4","4","5","2","4","3","5","5"
"2023/05/10 1:00:07 p.m. EEST","Yes","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","1","1","No","1","5","5","4","2","4","4","5","4"
"2023/05/10 1:32:14 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","4","4","No","4","4","5","5","5","4","4","4","4"
"2023/05/10 2:30:52 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","4","2","2","No","1","2","2","2","2","4","4","4","3"
"2023/05/10 3:34:34 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","2","2","4","No","3","4","4","4","2","4","4","5","5"
"2023/05/10 3:54:55 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","1","1","1","No","1","5","5","3","3","4","3","2","3"
"2023/05/10 4:46:40 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","4","5","3","No","3","5","5","5","5","4","5","5","5"
"2023/05/10 7:06:38 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","No","2","3","4","No","4","5","4","5","5","4","5","3","3"
"2023/05/11 1:02:00 a.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","2","2","No","2","4","4","4","5","4","5","5","4"
"2023/05/11 10:33:28 a.m. EEST","No","Yes","18-24","Female","New Zealand","Master degree","Student","Prefer not to say","Yes","4","4","3","No","2","2","2","4","1","4","4","2","2"
"2023/05/11 10:39:28 a.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","2","4","2","No","2","4","4","2","4","4","4","4","2"
"2023/05/11 11:17:44 a.m. EEST","No","No","25-34","Female","Netherlands","Master degree","Part-time employed","Prefer not to say","No","3","3","3","No","3","4","5","5","5","4","5","5","3"
"2023/05/11 11:21:39 a.m. EEST","No","Yes","55-64","Female","Netherlands","Bachelor degree","Full-time employed","Between €50,000-€80,000","Yes","2","2","2","No","1","5","4","4","4","4","4","3","4"
"2023/05/11 12:25:15 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","3","2","3","No","3","2","3","3","2","4","2","3","2"
"2023/05/11 1:41:05 p.m. EEST","No","No","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","3","4","No","3","5","4","4","5","4","4","4","5"
"2023/05/11 1:56:07 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","3","4","2","No","4","4","4","4","4","4","5","2","2"
"2023/05/11 1:57:42 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","4","3","4","No","4","4","4","4","4","4","4","4","4"
"2023/05/11 3:05:33 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","4","2","4","No","2","5","4","4","5","4","3","4","2"
"2023/05/11 4:40:07 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","No","2","1","2","No","3","5","5","5","5","4","5","4","4"
"2023/05/11 6:27:30 p.m. EEST","No","Yes","18-24","Female","United Kingdom","Bachelor degree","Student","Less than €20,000","Yes","2","1","1","No","1","4","5","5","3","4","5","5","5"
"2023/05/11 6:52:01 p.m. EEST","No","No","18-24","Male","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","No","1","1","1","No","1","4","5","3","3","4","3","4","3"
"2023/05/11 7:14:37 p.m. EEST","No","Yes","18-24","Male","Netherlands","High school degree","Student","Less than €20,000","Yes","4","3","2","No","2","2","4","3","4","4","4","4","2"
"2023/05/11 9:40:32 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","Yes","2","3","4","No","3","4","4","4","4","4","3","4","3"
"2023/05/11 9:52:56 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Prefer not to say","Yes","3","2","2","No","1","3","2","4","3","4","4","3","2"
"2023/05/11 9:54:01 p.m. EEST","Yes","Yes","25-34","Male","Netherlands","Bachelor degree","Student","Prefer not to say","Yes","1","2","1","No","1","5","4","4","5","4","4","5","2"
"2023/05/11 11:40:40 p.m. EEST","No","Yes","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","Yes","1","1","1","No","1","5","5","5","5","4","5","4","2"
"2023/05/12 12:22:51 a.m. EEST","No","Yes","18-24","Male","Egypt","Some college, no degree","Student","Less than €20,000","Yes","3","3","3","No","3","3","3","3","3","3","3","3","3"
"2023/05/12 12:24:18 a.m. EEST","Yes","Yes","25-34","Female","South Africa","Bachelor degree","Full-time employed","Between €50,000-€80,000","Yes","3","3","3","Yes","3","3","4","3","3","3","2","4","3"
"2023/05/12 9:18:47 a.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","1","2","3","No","1","4","4","4","2","4","3","3","2"
"2023/05/12 10:45:21 a.m. EEST","No","Yes","25-34","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","2","3","1","No","3","4","4","4","3","4","2","4","4"
"2023/05/12 11:01:15 a.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Part-time employed","Less than €20,000","Yes","1","2","2","No","2","3","3","4","2","4","3","4","2"
"2023/05/12 11:11:59 a.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Prefer not to say","Yes","2","2","2","No","1","5","5","4","5","4","4","4","4"
"2023/05/12 12:10:00 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","4","4","2","No","3","4","5","5","5","4","5","2","4"
"2023/05/12 12:26:44 p.m. EEST","No","Yes","25-34","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","3","2","No","2","3","4","5","4","4","4","4","4"
"2023/05/12 12:54:11 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","4","4","4","No","4","4","4","4","4","4","4","5","2"
"2023/05/12 12:57:29 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","3","2","No","2","4","3","3","4","4","3","3","2"
"2023/05/12 1:17:04 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Prefer not to say","No","1","3","1","No","1","5","5","5","5","4","5","4","5"
"2023/05/12 1:41:32 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","4","2","3","No","4","5","4","3","5","4","3","5","3"
"2023/05/12 2:45:08 p.m. EEST","No","Yes","18-24","Male","Belgium","Bachelor degree","Student","Less than €20,000","Yes","4","4","4","No","4","4","3","3","3","4","3","4","4"
"2023/05/12 2:50:03 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","1","1","1","No","1","4","4","4","2","4","2","4","2"
"2023/05/12 2:53:46 p.m. EEST","No","Yes","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","No","3","3","3","No","3","5","5","5","4","4","4","4","4"
"2023/05/12 2:59:36 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","4","1","No","3","4","4","4","4","4","4","4","4"
"2023/05/12 3:05:28 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","3","3","4","No","4","3","3","4","4","4","4","4","2"
"2023/05/12 3:38:15 p.m. EEST","No","No","18-24","Male","Netherlands","Bachelor degree","Student","Less than €20,000","No","3","4","4","No","4","3","5","3","4","4","5","4","2"
"2023/05/12 4:18:09 p.m. EEST","No","Yes","18-24","Male","Netherlands","Master degree","Student","Less than €20,000","Yes","4","4","2","No","2","4","4","4","3","4","4","4","3"
"2023/05/12 4:28:13 p.m. EEST","No","Yes","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","Yes","3","3","4","No","4","4","4","3","3","4","3","3","3"
"2023/05/12 4:39:40 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","3","No","1","5","5","4","4","4","3","5","4"
"2023/05/12 4:43:52 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","3","3","3","No","3","4","4","5","4","4","4","5","2"
"2023/05/12 5:41:56 p.m. EEST","No","Yes","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","1","4","4","4","4","4","4","4","2"
"2023/05/12 6:01:50 p.m. EEST","No","No","18-24","Female","Netherlands","Bachelor degree","Student","Less than €20,000","No","2","4","4","No","3","4","3","2","4","4","3","5","2"
"2023/05/12 6:03:32 p.m. EEST","No","Yes","18-24","Female","Latvia","Bachelor degree","Full-time employed","Between €20,000-€50,000","Yes","4","4","2","No","4","2","2","2","2","4","2","4","2"
"2023/05/12 6:30:35 p.m. EEST","No","Yes","25-34","Male","Netherlands","Bachelor degree","Student","Less than €20,000","Yes","2","2","2","No","2","3","2","2","4","4","3","4","2"
"2023/05/12 7:36:05 p.m. EEST","Yes","Yes","18-24","Male","Netherlands","Some college, no degree","Student","Less than €20,000","Yes","4","3","2","No","1","5","5","3","4","4","4","5","2"
"2023/05/12 7:37:31 p.m. EEST","No","No","18-24","Male","Netherlands","High school degree","Student","Less than €20,000","No","1","2","1","No","1","5","4","5","4","4","5","4","2"
"2023/05/12 9:00:35 p.m. EEST","No","Yes","18-24","Female","Netherlands","High school degree","Student","Less than €20,000","Yes","1","2","1","No","1","5","5","5","5","4","5","5","5"
"2023/05/12 10:51:20 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","1","1","1","No","1","1","2","4","4","4","4","1","5"
"2023/05/12 11:04:26 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","1","1","3","No","1","2","2","4","4","4","4","1","4"
"2023/05/13 12:00:31 a.m. EEST","No","Yes","18-24","Female","Netherlands","Some college, no degree","Student","Less than €20,000","Yes","4","1","4","No","1","4","3","4","4","4","3","2","2"
"2023/05/13 10:03:00 a.m. EEST","No","Yes","18-24","Female","Belgium","Bachelor degree","Student","Less than €20,000","Yes","1","2","1","No","1","5","5","5","4","4","4","4","4"
"2023/05/13 12:06:44 p.m. EEST","No","Yes","18-24","Female","Netherlands","Master degree","Student","Less than €20,000","Yes","1","1","3","No","1","4","4","3","4","4","2","3","2"
"2023/05/13 1:26:48 p.m. EEST","No","Yes","25-34","Female","Malaysia","Doctorate degree","Part-time employed","Less than €20,000","Yes","4","5","3","No","4","4","5","5","4","4","4","5","5"
"2023/05/13 4:57:30 p.m. EEST","No","No","18-24","Male","Belgium","Master degree","Student","Less than €20,000","No","3","3","3","No","3","4","3","4","3","4","4","4","3"
"2023/05/13 6:45:42 p.m. EEST","No","Yes","25-34","Female","Netherlands","Master degree","Student","Less than €20,000","No","3","3","4","No","4","4","4","4","4","4","4","3","4"
"2023/05/13 11:13:02 p.m. EEST","No","No","18-24","Female","Netherlands","Master degree","Part-time employed","Less than €20,000","Yes","3","4","4","No","3","4","4","5","4","4","3","4","4"
